epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3354.81,1.2362,1.40468,1.50909,0.45741,0.5092,0.48748,0.34265,1.09749,1.16964,1.41003,0.000349331,0.000349331,0.000349331
43,3433.99,1.24002,1.41406,1.50669,0.43569,0.53979,0.48465,0.33933,1.12595,1.20134,1.43743,0.00034351,0.00034351,0.00034351
44,3513.02,1.22987,1.39326,1.51585,0.45753,0.52442,0.50653,0.35196,1.11513,1.14866,1.41379,0.000337688,0.000337688,0.000337688
45,3592.92,1.23668,1.40196,1.50848,0.44849,0.49751,0.49082,0.34735,1.11312,1.15543,1.40365,0.000331867,0.000331867,0.000331867
46,3672.02,1.21794,1.36455,1.49111,0.50925,0.5102,0.49865,0.3558,1.0895,1.15071,1.39978,0.000326046,0.000326046,0.000326046
47,3751.12,1.21685,1.36089,1.49198,0.5063,0.53242,0.5371,0.38493,1.06883,1.12701,1.37418,0.000320225,0.000320225,0.000320225
48,3830.11,1.19615,1.34914,1.48418,0.49882,0.54606,0.54098,0.39162,1.0715,1.10423,1.38331,0.000314404,0.000314404,0.000314404
49,3909.12,1.21593,1.35308,1.49064,0.50332,0.57289,0.5448,0.38769,1.08481,1.08931,1.37638,0.000308582,0.000308582,0.000308582
50,3988.07,1.18922,1.34117,1.47905,0.49952,0.52367,0.52966,0.38264,1.07207,1.10544,1.37928,0.000302761,0.000302761,0.000302761
51,4067.18,1.20545,1.31992,1.48096,0.5142,0.56131,0.55701,0.40583,1.05709,1.07025,1.36628,0.00029694,0.00029694,0.00029694
52,4146.22,1.18692,1.29868,1.46616,0.55804,0.51428,0.56216,0.39831,1.09019,1.09437,1.38386,0.000291119,0.000291119,0.000291119
53,4225.21,1.1755,1.28335,1.45719,0.52801,0.56625,0.56239,0.40518,1.06965,1.05112,1.36479,0.000285298,0.000285298,0.000285298
54,4304.05,1.17356,1.29783,1.47589,0.52524,0.61159,0.59402,0.43311,1.04559,1.05939,1.35049,0.000279476,0.000279476,0.000279476
55,4383.26,1.18719,1.29797,1.47858,0.5757,0.57517,0.59989,0.42592,1.05058,1.06812,1.35079,0.000273655,0.000273655,0.000273655
56,4462.34,1.17378,1.28595,1.45472,0.58726,0.57577,0.61692,0.44589,1.04949,1.03805,1.35332,0.000267834,0.000267834,0.000267834
57,4541.55,1.15657,1.27667,1.4538,0.63684,0.57813,0.63475,0.45758,1.05425,1.0445,1.35729,0.000262013,0.000262013,0.000262013
58,4620.59,1.15691,1.27993,1.45577,0.64556,0.56357,0.64703,0.473,1.02724,1.01027,1.3355,0.000256192,0.000256192,0.000256192
59,4699.53,1.17364,1.27657,1.45905,0.58534,0.5832,0.61451,0.44948,1.02814,1.02633,1.33975,0.00025037,0.00025037,0.00025037
60,4778.49,1.15052,1.24649,1.44268,0.64887,0.58059,0.66239,0.48954,1.03577,1.00153,1.33884,0.000244549,0.000244549,0.000244549
61,4859.04,1.14646,1.22673,1.43969,0.63159,0.57157,0.64493,0.47435,1.02569,1.02275,1.3345,0.000238728,0.000238728,0.000238728
62,4937.81,1.13688,1.24252,1.45686,0.66149,0.61763,0.66891,0.49159,1.02491,0.99827,1.34108,0.000232907,0.000232907,0.000232907
63,5016.8,1.13939,1.19843,1.42853,0.63607,0.62788,0.68001,0.49954,1.00714,0.98998,1.31441,0.000227086,0.000227086,0.000227086
64,5095.72,1.12825,1.21217,1.42673,0.62292,0.61983,0.67192,0.496,1.01246,0.97825,1.3239,0.000221264,0.000221264,0.000221264
65,5174.78,1.1315,1.20123,1.42135,0.70571,0.60729,0.69747,0.51942,1.02687,0.97401,1.32663,0.000215443,0.000215443,0.000215443
66,5253.7,1.12266,1.20226,1.41725,0.67303,0.61744,0.6961,0.5199,0.99888,0.95867,1.30698,0.000209622,0.000209622,0.000209622
67,5332.65,1.13553,1.19346,1.43043,0.71028,0.62675,0.72225,0.53583,0.99767,0.93299,1.30935,0.000203801,0.000203801,0.000203801
68,5411.76,1.12848,1.20562,1.42435,0.72079,0.61867,0.71484,0.53275,0.98724,0.95428,1.30637,0.00019798,0.00019798,0.00019798
69,5490.66,1.12553,1.19952,1.43004,0.70351,0.63166,0.72081,0.5402,0.98182,0.93994,1.29745,0.000192158,0.000192158,0.000192158
70,5569.74,1.10262,1.17684,1.41127,0.72418,0.625,0.73153,0.55029,1.00016,0.94494,1.31664,0.000186337,0.000186337,0.000186337
71,5648.87,1.12208,1.16422,1.41016,0.72934,0.63874,0.73742,0.55614,0.97821,0.9233,1.29407,0.000180516,0.000180516,0.000180516
72,5727.93,1.1239,1.19315,1.42326,0.67076,0.65448,0.71564,0.536,1.00332,0.92802,1.30941,0.000174695,0.000174695,0.000174695
73,5807.02,1.10325,1.16064,1.40303,0.67969,0.66921,0.73203,0.55048,0.98695,0.93623,1.30296,0.000168874,0.000168874,0.000168874
74,5886.13,1.10487,1.14556,1.40289,0.71126,0.6668,0.74621,0.56774,0.97291,0.92141,1.28744,0.000163052,0.000163052,0.000163052
75,5965.26,1.10365,1.1402,1.3943,0.73695,0.66228,0.76474,0.58422,0.96939,0.89488,1.28492,0.000157231,0.000157231,0.000157231
76,6044.27,1.08943,1.12441,1.38729,0.73049,0.68067,0.76891,0.58555,0.96053,0.89798,1.27986,0.00015141,0.00015141,0.00015141
77,6123.47,1.09529,1.13232,1.39334,0.70263,0.69956,0.7657,0.58562,0.95483,0.89892,1.27474,0.000145589,0.000145589,0.000145589
78,6202.42,1.10447,1.14052,1.39158,0.72032,0.6685,0.75462,0.57757,0.95834,0.89553,1.27812,0.000139768,0.000139768,0.000139768
79,6281.37,1.08577,1.11375,1.38722,0.74452,0.67829,0.77806,0.59343,0.95509,0.87847,1.27407,0.000133946,0.000133946,0.000133946
80,6360.34,1.09542,1.13968,1.4014,0.76955,0.68029,0.77925,0.59769,0.95042,0.88292,1.27438,0.000128125,0.000128125,0.000128125
81,6439.39,1.08545,1.12045,1.39664,0.75202,0.68404,0.78102,0.59964,0.94325,0.87507,1.26828,0.000122304,0.000122304,0.000122304
82,6518.39,1.07907,1.10542,1.37969,0.74263,0.70254,0.78983,0.60794,0.94557,0.86392,1.27067,0.000116483,0.000116483,0.000116483
83,6597.34,1.0694,1.11931,1.39269,0.75034,0.69807,0.79692,0.61101,0.94061,0.85657,1.26761,0.000110662,0.000110662,0.000110662
84,6676.37,1.07685,1.11585,1.38129,0.75516,0.69492,0.78854,0.60288,0.94792,0.86369,1.27178,0.00010484,0.00010484,0.00010484
85,6755.24,1.07571,1.1005,1.38571,0.76812,0.69675,0.79592,0.6137,0.94346,0.85783,1.26314,9.90192e-05,9.90192e-05,9.90192e-05
86,6834.2,1.08083,1.10968,1.39658,0.73394,0.72216,0.79587,0.61464,0.93081,0.85081,1.26041,9.3198e-05,9.3198e-05,9.3198e-05
87,6913.13,1.06655,1.08035,1.37279,0.75952,0.70123,0.79886,0.61597,0.93834,0.84795,1.26466,8.73768e-05,8.73768e-05,8.73768e-05
88,6992.14,1.07962,1.08632,1.38644,0.77502,0.7085,0.81007,0.6258,0.93142,0.83939,1.25577,8.15556e-05,8.15556e-05,8.15556e-05
